id,incident_number,campus_id,reported_datetime,occurred_start,occurred_end,nature_of_incident,location,created_at,campus
1319,25HB00570,13,12/27/2025 01:36 PM,12/27/2025 01:36 PM,12/27/2025 02:03 PM,Visitor reported a concern for a student,JUNIATA HOUSE,2026-02-18 21:43:32,other
1320,25ER00359,5,12/27/2025 10:42 AM,12/27/2025 10:42 AM,12/27/2025 11:15 AM,Employee reported a fire alarm activation,PORCUPINE HALL,2026-02-18 21:43:32,other
1322,25MA00034,17,12/27/2025 06:54 AM,12/27/2025 06:53 AM,12/27/2025 07:20 AM,Employee reported a one vehicle crash with no injuries,CAMPUS DR & ORCHARD RD,2026-02-18 21:43:32,other
1332,25HB00569,13,12/25/2025 09:05 PM,12/25/2025 09:05 PM,12/25/2025 09:33 PM,Student reported unsafe conditions,JUNIATA HOUSE,2026-02-18 21:43:32,other
1333,25UP05368,1,12/25/2025 07:43 PM,12/25/2025 07:43 PM,,A vehicle stop investigation revealed the operator to be driving with a suspended driver's license,NORTH ATHERTON ST & PARK AVE,2026-02-18 21:43:32,other
1336,25HB00568,13,12/25/2025 05:27 AM,12/25/2025 05:27 AM,12/25/2025 05:44 AM,Assisted an outside law enforcement agency with an investigation,E HIGH ST,2026-02-18 21:43:32,other
1342,25HN00164,15,12/24/2025 12:42 AM,12/24/2025 12:42 AM,12/24/2025 12:56 AM,Assisted an outside law enforcement agency with an investigation,HILLSIDE DR,2026-02-18 21:43:32,other
1344,25UP05364,1,12/23/2025 05:29 PM,12/23/2025 05:29 PM,12/23/2025 06:30 PM,Visitor was found trespassing inside a University building,ERIC J. BARRON INNOVATION HUB BUILDING,2026-02-18 21:43:32,other
1359,25UP05363,1,12/22/2025 07:03 PM,12/22/2025 07:03 PM,12/22/2025 08:00 PM,Visitor stopped for a University policy violation regarding University access,HUB ROBESON CULTURAL CENTER,2026-02-18 21:43:32,other
1363,25UP05362,1,12/22/2025 02:47 PM,12/22/2025 02:47 PM,12/22/2025 03:30 PM,Student reported the theft of their personal property,HAMILTON HALL,2026-02-18 21:43:32,other
1367,25ER00358,5,12/22/2025 04:30 AM,12/22/2025 04:30 AM,12/22/2025 04:50 AM,Student reported unsafe conditions,SENAT HALL,2026-02-18 21:43:32,other
1368,25UP05360,1,12/22/2025 02:15 AM,12/22/2025 02:15 AM,,A vehicle stop investigation revealed the operator to be driving under the influence of alcohol,CURTIN RD & PORTER RD,2026-02-18 21:43:32,other
1371,25SL00209,19,12/21/2025 10:17 PM,12/21/2025 10:17 PM,12/21/2025 10:30 PM,Employee reported an alarm activation,HEALTH & WELLNESS BUILDING,2026-02-18 21:43:32,other
1372,25UP05349,1,12/21/2025 10:13 PM,12/21/2025 10:13 PM,12/21/2025 10:54 PM,Assisted an outside law enforcement agency with an investigation,E COLLEGE AVE,2026-02-18 21:43:32,other
1373,25AL00642,3,12/21/2025 09:14 PM,12/21/2025 09:14 PM,12/21/2025 09:22 PM,Assisted an outside law enforcement agency with an investigation,25TH AVE,2026-02-18 21:43:32,other
